Pais;Data;PIB;Consumo;Investimento;Gastos_Governo;Exportacoes;Importacoes;Inflacao;Desemprego;Taxa_Juros;Divida_Publica;Producao_Industrial;Setor_Agricola;Setor_Servicos;Balanca_Comercial;Crescimento_PIB
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Indonésia;14/10/2024;44700.43;30318.9;7001.85;11058.2;6854.51;5613.33;0.53;8.11;4.77;17291.85;15445.67;4729.56;25486.37;1241.18;1.05
Indonésia;14/10/2024;44700.43;30318.9;7001.85;11058.2;6854.51;5613.33;0.53;8.11;4.77;17291.85;15445.67;4729.56;25486.37;1241.18;1.05
Brasil;25/01/2024;52606.77;33504.09;5578.41;11475.61;6938.48;7622.61;0.74;4.96;5.32;43677.18;11818.3;4075.88;27423.53;-684.12;0.38
Brasil;30/01/2024;47255.09;27228.75;8008.43;8925.66;5083.17;5316.86;0.44;14.88;1.78;52265.25;15967.93;4298.55;23266.76;-233.69;0.51
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;01/01/2024;30199.16;16960.01;4048.93;5507.81;5393.09;3359.12;0.63;9.82;4.62;11264.13;6462.05;3156.13;12300.6;2033.97;1.17
Brasil;02/01/2024;57458.18;40149.23;9178.41;12775.43;10789.91;11498.06;0.65;12.89;7.11;55972.58;16289.13;5656.84;28254.68;-708.15;0.18
Brasil;03/01/2024;56811.3;38978.04;8979.38;9056.5;15664.74;12053.18;0.25;12.64;4.72;62426.18;13472.33;7390.62;30813.43;3611.56;-0.96
Brasil;04/01/2024;52906.48;32414.05;9076.29;8763.49;10918.83;7703.8;0.7;9.48;6.21;19325.99;11674.83;5566.23;23079.63;3215.03;0.5
Brasil;05/01/2024;59629.65;31520.31;10386.76;11110.11;14059.87;7262.46;0.52;13.05;1.06;62307.77;15975.69;7890.62;35281.52;6797.42;-0.52
Brasil;06/01/2024;55907.3;35496.32;6905.09;9143.94;12613.61;6496.29;0.47;10.63;5.0;51846.33;17902.18;7671.86;28623.11;6117.32;-0.17
Brasil;07/01/2024;25679.62;14000.15;3926.59;3910.12;5678.1;5732.73;1.0;14.06;0.9;11457.9;5669.97;2717.81;10507.77;-54.64;1.81
Brasil;08/01/2024;52092.22;26690.35;7247.33;12470.72;15089.85;8844.93;0.49;10.63;4.08;30848.76;16196.2;5705.96;25855.15;6244.92;-0.7
Brasil;09/01/2024;50192.86;31314.64;8319.53;12020.64;13213.02;6079.08;0.79;11.12;8.28;53155.2;12640.06;3831.06;25624.8;7133.94;-0.1
Brasil;10/01/2024;42311.79;24115.06;4523.81;10541.41;6848.56;9182.12;0.99;14.63;6.34;33206.09;10425.26;5760.78;19784.95;-2333.56;-0.68
Brasil;11/01/2024;39722.38;25569.18;4645.7;7217.01;4580.68;9027.32;0.72;8.25;4.3;17864.53;10235.3;5588.24;16990.52;-4446.64;1.3
Brasil;12/01/2024;38555.18;19641.36;5057.2;9048.66;7286.8;7919.39;0.1;11.2;8.19;39508.31;10249.14;5413.69;19855.72;-632.59;1.45
Brasil;13/01/2024;43568.48;28357.52;7174.14;9481.85;6418.25;6968.49;0.26;3.82;2.04;52092.56;10243.22;2872.44;23499.77;-550.24;0.81
Brasil;14/01/2024;43639.93;28331.15;7216.62;7519.13;8735.89;5520.29;0.25;14.84;7.29;43839.16;8924.75;3849.63;22302.17;3215.6;-0.55
Brasil;15/01/2024;58044.88;38882.1;7614.39;10355.69;15630.48;7732.21;0.75;5.29;8.76;61246.47;18465.21;5754.98;23610.79;7898.27;-0.6
Brasil;16/01/2024;70647.26;41775.21;7373.09;11045.5;8838.03;9828.94;0.75;3.58;9.84;38604.95;17522.62;5283.6;36770.36;-990.92;-0.94
Brasil;17/01/2024;37563.25;22068.36;7324.73;6385.91;4283.69;6243.52;0.16;4.74;4.1;33907.82;8880.99;5168.57;17748.24;-1959.83;1.8
Brasil;18/01/2024;62002.99;37107.49;10706.29;14564.61;12769.14;14108.69;0.38;7.36;7.94;32064.4;19069.38;3578.11;32683.33;-1339.55;1.83
Brasil;19/01/2024;27088.72;16472.87;4658.08;5035.35;2709.58;4749.0;0.42;9.39;7.15;15035.65;7470.77;2040.83;13324.11;-2039.42;0.03
Brasil;20/01/2024;38130.87;21879.81;6022.24;8349.18;3909.62;8827.15;0.36;10.72;1.22;31050.37;11506.71;2506.87;22208.6;-4917.53;1.27
Brasil;21/01/2024;37438.75;25200.41;4000.8;6047.0;8971.63;5169.51;0.46;9.47;4.58;14058.41;11629.27;2770.43;20505.44;3802.12;1.6
Brasil;22/01/2024;51275.92;31138.57;8749.6;7880.79;5504.45;6644.04;0.36;5.19;6.35;28160.68;16760.18;5438.34;24387.64;-1139.59;1.68
Brasil;23/01/2024;54107.8;34935.8;8734.16;10100.97;9983.98;10662.95;0.17;12.93;9.39;21004.09;11003.81;3477.51;29866.45;-678.97;-0.68
Brasil;24/01/2024;54214.69;31143.63;5763.69;10477.3;11969.08;10532.64;0.52;14.26;5.31;58189.4;18918.43;3956.29;24565.06;1436.44;0.57
Brasil;25/01/2024;52606.77;33504.09;5578.41;11475.61;6938.48;7622.61;0.74;4.96;5.32;43677.18;11818.3;4075.88;27423.53;-684.12;0.38
Brasil;26/01/2024;37088.25;23439.63;6878.82;6064.05;4232.75;7417.98;0.77;8.39;3.94;31046.37;10485.52;3672.37;20908.17;-3185.23;-0.48
Brasil;27/01/2024;61363.87;41743.41;11935.89;12321.04;11458.35;10774.65;0.73;3.21;1.74;68537.28;14071.67;4470.26;36075.38;683.7;-0.12
Brasil;28/01/2024;58532.51;32666.32;11259.95;10975.33;11635.58;10773.56;0.87;3.93;2.61;48482.9;15522.35;4555.47;28208.48;862.03;1.9
Brasil;29/01/2024;50532.6;25397.05;7347.52;11921.63;6035.66;7821.24;0.38;7.35;7.27;15360.33;16018.57;6766.52;24573.64;-1785.58;1.66
Brasil;30/01/2024;47255.09;27228.75;8008.43;8925.66;5083.17;5316.86;0.44;14.88;1.78;52265.25;15967.93;4298.55;23266.76;-233.69;0.51
Brasil;31/01/2024;45519.62;25751.7;5328.99;10826.45;5193.95;9657.24;0.44;11.58;8.9;27571.05;10653.88;5235.75;27289.25;-4463.29;1.19
Brasil;01/02/2024;53219.78;35078.46;8674.07;9942.43;12289.98;6348.19;0.49;9.88;9.07;60018.47;11123.93;6023.85;29764.66;5941.79;0.61
Brasil;02/02/2024;48054.57;27041.69;7990.51;7523.32;10087.81;5590.68;0.4;8.11;4.52;45160.84;10196.19;3691.76;25383.67;4497.13;1.83
Brasil;03/02/2024;47056.93;29371.03;8862.54;11615.56;13024.46;11568.05;0.78;13.65;4.91;28746.85;16467.88;2812.87;27840.75;1456.4;0.29
Brasil;04/02/2024;63874.94;32510.0;12609.85;13867.49;7000.64;6432.02;0.59;14.72;5.24;39506.96;21771.06;9478.74;35571.76;568.63;1.15
Brasil;05/02/2024;47408.68;23723.91;6228.0;11497.44;8231.44;7120.17;0.54;8.37;8.59;17708.4;14166.3;5675.72;27308.47;1111.27;0.25
Brasil;06/02/2024;58977.87;38039.84;6906.19;9779.5;9007.14;8091.03;0.75;9.37;5.48;18473.75;20591.45;7842.82;28824.42;916.1;-0.8
Brasil;07/02/2024;35458.27;22652.78;5443.01;7721.18;8350.97;4368.82;0.33;3.21;9.82;36373.76;12031.74;1929.39;17731.59;3982.15;1.24
Brasil;08/02/2024;52095.7;32794.26;10340.76;8548.2;11766.1;12610.81;0.74;7.03;1.19;60815.99;10981.02;7684.99;24000.61;-844.72;1.58
Brasil;09/02/2024;47002.69;28712.18;8989.69;9055.63;12688.88;6380.98;0.47;13.16;1.18;44923.81;12480.66;4762.38;24244.29;6307.9;-0.17
Brasil;10/02/2024;33640.46;21078.64;5772.49;6740.69;7528.47;6193.61;0.0;13.1;0.6;22515.77;7288.3;3910.08;15646.77;1334.86;-0.79
Brasil;11/02/2024;45110.6;22964.48;5580.82;9776.66;10990.94;5380.1;0.14;10.12;9.57;35981.12;13838.19;4851.27;18990.08;5610.84;1.84
Brasil;12/02/2024;52500.62;34598.61;10234.86;11516.93;8776.77;9143.08;0.76;12.46;0.74;44749.73;18118.25;6747.68;21077.14;-366.31;-0.33
Brasil;13/02/2024;37591.44;22141.43;6414.11;7725.97;4340.52;7922.03;0.84;5.47;0.67;38037.35;11129.58;4900.06;19296.42;-3581.51;0.29
Brasil;14/02/2024;58332.65;40757.01;7631.29;13955.95;6362.9;7708.8;0.16;7.28;5.63;55298.29;19565.97;3841.48;30079.62;-1345.9;0.66
Brasil;15/02/2024;48198.92;28519.05;8167.71;9704.18;10123.62;11350.83;0.86;9.93;1.56;56047.22;14141.8;6301.89;19809.97;-1227.21;1.69
Brasil;16/02/2024;60927.72;31805.64;10436.09;9606.09;6773.04;9066.18;0.02;4.92;7.26;64061.41;13826.22;8062.55;30226.61;-2293.14;1.87
Brasil;17/02/2024;61403.35;32412.48;6469.24;14399.58;10585.76;10351.1;0.51;12.9;0.76;48877.79;16246.42;5159.6;28836.63;234.66;1.79
Brasil;18/02/2024;46674.41;27937.46;8027.36;9423.5;10466.58;7459.72;0.72;8.59;2.23;48319.09;14693.94;5262.49;23542.08;3006.86;-0.37
Brasil;19/02/2024;33006.88;22235.77;3621.49;6215.8;8928.76;6249.36;0.44;12.5;9.9;15510.99;6852.56;3178.52;15099.96;2679.41;1.0
Brasil;20/02/2024;42780.01;24427.23;5179.26;7330.16;7588.92;8653.34;0.34;6.91;4.25;50984.16;9141.46;3399.52;19610.38;-1064.42;1.92
Brasil;21/02/2024;8422.66;4897.24;1319.81;1430.28;863.67;1270.9;0.64;11.3;7.54;9050.97;1830.61;490.87;4695.95;-407.23;0.31
Brasil;22/02/2024;54292.4;27874.88;7619.45;12713.71;10434.56;5702.98;0.24;4.04;4.08;50330.63;16236.34;6617.92;25884.62;4731.58;-0.2
Brasil;23/02/2024;41956.21;21455.84;8146.11;6789.69;5691.31;4352.96;0.32;12.83;3.32;37734.77;14467.83;5842.53;18292.68;1338.35;0.08
Brasil;24/02/2024;40233.66;21185.62;6015.57;6811.36;5854.92;7852.19;0.51;4.45;1.54;12773.82;9372.39;5581.67;22474.79;-1997.27;0.24
Brasil;25/02/2024;58510.9;37937.7;8232.3;13411.31;7980.25;7189.68;0.08;5.9;1.46;59609.57;13808.32;5945.92;32253.51;790.58;1.03
Brasil;26/02/2024;52215.69;33486.59;7237.17;9093.92;10762.88;5831.57;0.8;10.85;7.62;42416.62;14969.53;5745.69;29075.36;4931.31;-0.32
Brasil;27/02/2024;57478.55;36573.97;8924.73;11467.59;11965.96;8094.71;0.04;12.11;9.16;42113.75;18719.92;6065.46;33685.91;3871.25;0.53
Brasil;28/02/2024;53656.84;35416.43;7501.28;12565.96;5462.81;11802.47;0.69;7.56;7.92;22213.7;12367.79;5545.86;30917.35;-6339.66;-0.61
Brasil;29/02/2024;47083.87;28855.52;8254.42;10562.58;10621.75;11353.72;0.48;13.56;6.2;45375.66;12699.69;3143.41;19860.87;-731.96;1.05
Brasil;01/03/2024;60795.6;39469.11;10861.02;12217.85;9903.63;13155.08;0.42;14.24;8.25;59107.01;14359.11;5245.21;34641.1;-3251.44;-0.93
Brasil;02/03/2024;30239.21;19845.8;4246.04;6953.05;6364.7;5413.45;0.7;12.68;6.93;21338.08;7503.12;4069.08;15245.26;951.25;1.35
Brasil;03/03/2024;56768.46;31491.43;7155.1;8935.0;6568.82;13019.75;0.23;4.3;3.53;53486.66;14245.74;4594.16;28248.73;-6450.92;-0.94
Brasil;04/03/2024;45895.97;27455.64;9133.39;10553.08;5236.65;9097.65;0.46;12.91;0.99;23381.97;14625.72;6192.28;23217.08;-3861.0;-0.94
Brasil;05/03/2024;47469.86;24111.66;8633.88;9105.05;6550.75;10454.61;0.46;10.29;8.23;36560.33;10280.63;6948.46;21708.35;-3903.86;1.98
Brasil;06/03/2024;58497.08;29319.02;8679.73;12898.23;16452.91;12696.82;0.26;5.92;3.57;23368.78;17574.63;8430.94;30911.08;3756.09;0.6
Brasil;07/03/2024;75948.58;48768.3;13632.77;16695.94;18304.09;18437.28;0.9;12.89;0.43;68504.15;20372.99;8488.01;40803.86;-133.19;1.14
Brasil;08/03/2024;50938.39;34326.63;9729.19;10731.85;14203.3;10936.13;0.2;3.42;0.1;42175.0;14173.05;6094.11;28961.82;3267.17;-0.51
Brasil;09/03/2024;39172.51;20318.1;6965.21;6729.36;7371.77;7036.51;0.69;8.85;6.95;40450.88;12024.36;3131.85;22675.29;335.26;0.65
Brasil;10/03/2024;60664.24;35978.44;9554.9;12031.05;15228.06;9894.31;0.78;12.12;2.77;23437.46;19876.26;4057.95;24644.03;5333.75;0.21
Brasil;11/03/2024;41844.73;22364.45;7319.47;9554.92;4572.71;7616.65;0.14;8.99;3.48;20153.87;14319.64;6095.72;21457.73;-3043.95;-0.44
Brasil;12/03/2024;42830.12;26411.33;8259.79;8042.47;5462.87;8739.64;0.66;3.02;8.54;38318.93;9823.29;2155.38;25460.79;-3276.77;1.26
Brasil;13/03/2024;40237.01;24454.93;6915.24;6731.37;5598.81;4315.04;0.99;13.51;5.53;27652.74;9480.48;4405.88;21651.62;1283.78;1.07
Brasil;14/03/2024;30397.66;15237.96;5173.8;7193.22;3738.41;6484.02;0.82;6.31;7.12;11766.31;9039.71;3071.17;17325.77;-2745.61;0.36
Brasil;15/03/2024;57073.05;39200.82;5911.12;11332.23;7544.57;8050.49;0.67;4.55;0.11;54471.16;16905.13;8005.43;29019.48;-505.92;1.84
Brasil;16/03/2024;48827.57;30364.04;6773.12;10295.12;12198.89;7428.2;0.37;10.56;4.56;37806.01;16958.41;2655.12;25858.11;4770.69;1.77
Brasil;17/03/2024;42668.87;24432.18;4582.97;8791.0;9775.09;9514.43;0.07;8.23;7.84;42304.98;9005.1;2182.07;23752.29;260.65;-0.59
Brasil;18/03/2024;43284.54;26644.14;4736.39;7771.79;5696.57;9109.63;0.67;4.62;0.59;31151.96;9926.54;2199.47;19601.6;-3413.06;-0.35
Brasil;19/03/2024;58146.15;31836.63;7111.55;10976.63;7821.33;14072.66;0.24;4.12;5.57;45578.3;17140.74;8528.31;27020.36;-6251.33;0.08
Brasil;20/03/2024;54175.28;30739.49;8823.15;11398.85;11147.18;8378.15;0.43;12.51;6.09;51178.15;13083.84;7646.8;22051.1;2769.04;0.79
Brasil;21/03/2024;52964.57;29867.27;7731.51;8129.47;13662.37;6286.14;0.43;14.89;9.18;31620.97;12371.58;3981.31;28439.7;7376.23;1.18
Brasil;22/03/2024;52528.04;28538.41;6513.42;9577.91;9803.6;12481.75;0.03;10.66;8.62;49955.6;12213.36;5130.66;30574.27;-2678.14;-0.65
Brasil;23/03/2024;52974.81;35263.71;5498.35;8837.82;15347.1;7517.22;0.01;6.05;7.35;59586.5;11827.87;3837.57;25867.93;7829.88;1.24
Brasil;24/03/2024;46599.94;29439.02;6186.3;7299.19;7017.58;6194.74;0.02;14.7;2.55;49064.21;12709.17;6860.87;20033.81;822.84;-0.67
Brasil;25/03/2024;57505.62;36042.28;9071.12;11425.74;8719.85;6308.56;0.44;4.19;9.06;60173.67;16847.09;5477.06;28226.01;2411.29;0.39
Brasil;26/03/2024;46076.02;29907.6;5189.1;9359.4;12096.49;8133.29;0.01;5.94;6.69;52562.58;15392.26;6094.5;27186.36;3963.2;-0.16
Brasil;27/03/2024;32300.02;16435.57;4868.22;5490.02;7930.12;3662.18;0.96;13.52;8.74;32652.14;9529.75;1787.58;17199.28;4267.93;1.24
Brasil;28/03/2024;57426.92;30215.98;9278.79;11364.03;11168.87;7460.87;0.74;14.1;7.88;36301.22;19963.13;4962.66;25663.22;3708.0;1.9
Brasil;29/03/2024;56668.53;29211.86;6755.02;8605.22;14469.17;8032.0;0.13;5.18;6.41;39086.87;19335.84;4906.88;32118.3;6437.17;0.64
Brasil;30/03/2024;57397.87;36796.02;6707.86;12908.69;6723.07;11690.12;0.47;5.74;4.8;61422.05;12811.66;3843.51;29089.21;-4967.05;0.88
Brasil;31/03/2024;34099.94;17508.22;3579.79;5254.19;9556.73;4081.88;0.3;14.83;9.27;11545.41;9639.7;3865.22;14009.03;5474.85;1.18
Brasil;01/04/2024;44568.54;31089.86;6370.54;8688.27;10334.08;9380.85;0.79;3.93;8.01;48030.03;9216.07;2402.85;22737.89;953.24;0.49
Brasil;02/04/2024;51929.54;31528.85;8618.58;10581.14;5265.08;11764.98;0.2;5.77;6.48;37907.35;14860.78;5179.97;25111.7;-6499.9;0.45
Brasil;03/04/2024;76080.96;40187.27;14982.67;15784.91;11972.36;15743.13;0.88;6.56;3.25;52852.98;17695.94;9965.0;39321.33;-3770.77;-0.83
Brasil;04/04/2024;50041.38;30850.01;7278.4;9621.76;7188.99;12226.04;0.18;9.32;0.87;59751.37;14179.3;6578.36;25650.5;-5037.05;1.41
Brasil;05/04/2024;59972.2;36396.05;8665.83;11730.0;6025.33;9331.57;0.95;11.11;9.19;28800.83;16412.83;3205.41;32109.74;-3306.24;1.35
Brasil;06/04/2024;46700.36;25662.1;7732.77;10549.57;7231.18;7515.78;0.35;3.05;5.77;42133.13;11276.52;5547.0;20947.43;-284.59;1.15
Brasil;07/04/2024;51978.7;30742.15;9730.07;10628.26;7117.47;11606.93;0.78;4.01;0.48;21969.42;16986.5;4264.24;26038.74;-4489.46;0.81
Brasil;08/04/2024;57166.11;34481.06;8093.35;9695.04;12662.53;10431.76;0.29;8.35;7.4;49412.79;15564.11;4415.03;30503.89;2230.77;0.88
Brasil;09/04/2024;55288.03;32710.98;6847.56;9260.06;9281.75;13064.96;0.75;13.69;8.43;39420.05;15456.68;3702.01;30086.33;-3783.21;0.27
Brasil;10/04/2024;48255.46;24214.54;8804.28;10227.56;5195.92;7030.95;0.72;3.71;7.36;36404.19;15317.66;6539.76;26711.89;-1835.03;-0.77
Brasil;11/04/2024;69226.0;40986.96;9129.08;13903.99;20294.32;8214.32;0.87;14.89;9.9;70404.25;18679.74;4693.53;36111.23;12080.0;0.83
Brasil;12/04/2024;59794.66;31291.11;9770.5;14331.12;11624.86;12836.98;0.64;3.04;1.22;59636.32;12321.76;8707.58;34610.06;-1212.12;0.09
Brasil;13/04/2024;34609.42;19453.15;5582.26;7308.79;4077.22;4579.1;0.64;12.61;1.92;32246.95;11440.88;2138.19;16883.19;-501.88;1.55
Brasil;14/04/2024;36076.45;23418.05;5053.51;7959.59;4519.59;6602.95;0.38;14.97;5.91;32972.02;7924.38;5382.49;14801.48;-2083.36;-0.79
Brasil;15/04/2024;42186.55;21732.28;7891.42;9401.65;12428.6;4639.85;0.69;9.4;6.39;32130.32;12710.89;5935.9;21831.32;7788.76;1.69
Brasil;16/04/2024;54491.59;34430.52;8275.12;8552.75;14548.19;7427.29;0.04;9.23;6.33;48805.3;16372.4;6286.82;30604.57;7120.9;1.31
Brasil;17/04/2024;53472.93;35429.39;7808.45;8356.85;12187.3;7033.41;0.86;11.66;7.66;29826.13;15772.28;5497.47;24260.15;5153.88;1.44
Brasil;18/04/2024;36497.42;20476.86;4478.63;6614.79;5023.28;5681.58;0.69;14.51;2.11;20797.93;7311.27;2647.17;17653.45;-658.3;0.39
Brasil;19/04/2024;52181.57;28870.3;6002.57;10765.42;9488.58;8554.64;0.89;9.74;3.88;27573.31;13791.05;7106.44;30944.72;933.94;0.13
Brasil;20/04/2024;45568.32;24644.68;7135.22;8697.36;7173.97;9805.81;0.66;14.95;3.12;48336.73;11181.38;2319.6;19602.56;-2631.84;0.53
Brasil;21/04/2024;42222.97;27951.68;4464.71;9846.46;10269.25;4440.92;0.11;3.91;6.79;33986.39;10717.4;2484.03;20207.76;5828.33;1.05
Brasil;22/04/2024;51555.2;27727.91;5627.97;9563.34;12032.24;6091.66;0.48;7.87;4.27;59240.79;13010.19;7690.12;26173.45;5940.59;1.53
Brasil;23/04/2024;43717.16;24908.85;4742.32;6926.56;9391.75;10469.71;0.07;11.27;5.63;38778.24;10156.86;2494.1;18140.24;-1077.96;-0.26
Brasil;24/04/2024;46102.96;25492.01;7072.07;11292.98;13114.16;6489.32;0.07;14.95;4.76;54423.2;12938.62;6391.53;22564.82;6624.84;0.87
Brasil;25/04/2024;47013.29;28544.03;5735.04;10642.86;5216.65;7257.05;0.87;9.03;0.78;22885.0;10175.84;3655.91;20359.69;-2040.41;1.14
Brasil;26/04/2024;41256.74;24300.14;5346.22;7579.75;8878.28;9687.22;0.9;7.96;3.93;31610.02;11185.41;2317.74;21278.16;-808.94;0.75
Brasil;27/04/2024;53819.75;31757.28;7609.92;13126.34;11849.21;11971.77;0.95;12.72;9.43;52924.41;12137.33;3912.32;23614.98;-122.55;-0.03
Brasil;28/04/2024;61115.75;34968.63;10556.03;14691.11;7511.78;6113.97;0.89;5.86;1.53;34572.44;13928.52;7906.25;32201.99;1397.81;-0.5
Brasil;29/04/2024;44820.19;27641.18;5414.69;7608.48;9819.63;8950.73;0.35;12.16;8.37;50409.7;13173.06;3227.17;24637.34;868.9;-0.68
Brasil;30/04/2024;54124.68;36922.01;5773.57;9808.05;12223.27;13033.07;0.57;12.85;9.23;41521.13;16836.43;6291.52;28917.33;-809.79;0.55
Brasil;01/05/2024;46048.88;28763.89;7157.72;9844.07;9257.65;6141.75;0.69;7.61;1.28;49096.93;10462.4;4792.35;25060.88;3115.9;0.94
Brasil;02/05/2024;45968.26;24352.59;4930.31;8197.4;9415.57;5789.36;0.97;11.39;5.83;41981.75;12199.63;4458.5;26557.38;3626.21;1.17
Brasil;03/05/2024;45529.6;28120.78;8879.24;9846.42;8183.4;4877.07;0.39;14.1;0.45;21221.64;14629.21;3938.1;19904.62;3306.33;1.45
Brasil;04/05/2024;67528.03;37731.76;11311.85;15948.95;16884.78;12956.19;0.35;13.26;5.66;74323.13;16080.23;7794.73;39641.5;3928.59;0.12
Brasil;05/05/2024;71136.17;49101.97;9905.44;13783.97;18587.13;9896.16;0.71;6.58;5.94;71019.84;14506.15;4186.2;41748.03;8690.97;1.45
Brasil;06/05/2024;48340.44;31095.97;9659.75;9341.94;13020.79;5408.93;0.54;7.0;5.23;19465.1;12334.17;2786.97;23716.72;7611.86;0.33
Brasil;07/05/2024;60247.08;34096.36;11738.01;9536.71;15964.01;9232.21;0.2;6.27;9.02;62802.09;12191.82;3899.97;32232.52;6731.81;-0.05
Brasil;08/05/2024;47769.84;25324.75;9228.8;9096.3;8748.73;9682.26;0.4;13.5;9.59;28626.89;11044.8;2748.23;21155.95;-933.53;-0.58
Brasil;09/05/2024;52723.28;26668.7;5518.32;10594.02;12735.77;13048.42;0.16;11.38;5.54;38504.49;16253.32;3894.43;24371.77;-312.65;0.15
Brasil;10/05/2024;49097.41;25843.57;6471.74;7920.21;5262.09;7525.72;0.62;4.82;9.93;26852.04;9986.62;2592.51;26184.32;-2263.63;1.01
Brasil;11/05/2024;36590.95;24901.63;3991.49;6865.81;10166.97;8037.26;0.23;13.68;6.81;19681.74;7564.22;3649.74;19854.82;2129.7;-0.19
Brasil;12/05/2024;63843.58;41887.54;10557.81;13744.22;12437.9;10374.97;0.14;9.42;0.71;46055.32;19768.21;6019.57;32027.55;2062.94;1.53
Brasil;13/05/2024;55753.39;35086.52;6286.73;11390.07;9640.6;7305.08;0.65;7.64;7.67;46155.48;12022.58;4740.99;25310.29;2335.52;-0.55
Brasil;14/05/2024;45056.53;28054.53;8479.69;9205.08;6831.3;9849.48;0.44;9.77;9.02;33357.5;11273.33;5530.21;19225.62;-3018.18;1.74
Brasil;15/05/2024;62217.92;42501.64;9826.74;10292.68;11847.42;10172.37;0.3;5.1;2.64;49772.82;18843.07;9205.74;27571.97;1675.06;-0.39
Brasil;16/05/2024;56879.99;38558.21;5938.13;10123.34;9129.5;8054.32;0.43;8.99;7.58;30768.24;13924.9;6248.87;24791.36;1075.18;0.42
Brasil;17/05/2024;48082.75;26454.99;5760.27;11038.13;11608.36;6610.03;0.42;4.85;0.53;39749.92;12238.72;3400.66;20335.22;4998.33;1.04
Brasil;18/05/2024;54549.62;29378.31;6784.75;12828.62;11700.14;6341.76;0.55;6.7;7.37;20183.97;18420.47;5336.06;29830.84;5358.37;1.11
Brasil;19/05/2024;47447.72;25415.38;8920.61;8221.27;6553.17;8450.26;0.98;6.76;9.64;32813.99;15430.06;4887.04;20926.92;-1897.09;1.64
Brasil;20/05/2024;52102.54;34708.2;9545.32;11229.66;7825.77;9365.43;0.63;13.68;1.6;37431.9;13024.09;4833.62;22748.48;-1539.66;-0.35
Brasil;21/05/2024;45075.58;29478.07;6663.87;9078.89;12598.43;6130.14;0.33;6.7;6.59;36340.19;12203.39;5264.76;22392.82;6468.29;1.45
Brasil;22/05/2024;59166.98;30999.12;6472.56;12754.64;10528.24;9961.18;0.7;5.57;0.44;41121.07;19774.13;5625.23;30435.07;567.06;-0.37
